"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Aug-2018","    11694.75","    11698.80","    11639.70","    11676.80","      323450305","        18275.54"
"31-Aug-2018","    11675.85","    11727.65","    11640.10","    11680.50","      357230312","        20755.73"
